Dim1,Dim2,Class
-78.39089,30.046139,1.0
-71.00951,30.162384,1.0
-47.80504,21.198774,1.0
27.25495,17.786955,1.0
-50.183506,13.221132,1.0
-73.80506,24.040482,3.0
-48.94454,25.583986,1.0
13.672607,26.490269,1.0
-8.736323,45.717785,5.0
-72.075615,27.434473,1.0
-51.347294,23.902822,1.0
4.158694,42.98567,1.0
1.7038124,-3.5513992,1.0
-58.883904,-14.612929,4.0
-31.10866,52.870716,1.0
-73.507996,24.025074,4.0
-64.306145,14.54361,4.0
-22.227427,20.40085,1.0
-61.87839,25.071173,1.0
-20.708338,55.721096,4.0
-67.73942,22.674398,1.0
-47.71936,19.621784,3.0
-27.77056,39.281387,3.0
-18.171612,18.195942,4.0
-63.24979,15.440651,4.0
-23.33414,-3.1420212,4.0
-4.279532,19.489376,1.0
-40.02714,-32.455208,4.0
-52.2857,6.4841647,1.0
5.5408926,60.910667,4.0
-47.092415,14.678255,4.0
-76.19759,27.533663,3.0
-70.39429,24.647142,1.0
-63.189274,14.274636,4.0
22.54022,34.422073,1.0
-69.71393,20.701523,1.0
-39.50424,-31.499268,4.0
-22.391037,-3.4459834,4.0
-6.5747485,11.649643,4.0
10.236193,4.902633,4.0
-44.889996,22.785616,1.0
-38.477955,9.008643,1.0
-8.530121,18.218557,4.0
-78.85845,29.772749,3.0
-60.167156,25.032118,1.0
58.43127,-24.872417,4.0
-76.78189,27.002712,3.0
-46.324867,10.500561,1.0
-49.75583,-50.726494,1.0
17.236446,53.665585,1.0
14.75334,-71.89943,4.0
5.771857,12.335319,4.0
-50.640854,3.8606036,1.0
-45.30803,17.094355,1.0
12.9968195,4.3803253,3.0
-65.218834,21.745525,4.0
9.211335,37.04038,1.0
29.880781,33.395935,1.0
24.085196,52.87481,1.0
27.817827,52.716934,5.0
5.4009314,20.44309,1.0
-42.787804,6.0668836,1.0
-67.59495,15.348896,3.0
38.048653,29.538895,5.0
5.3178244,29.483004,1.0
-54.492825,-16.075129,4.0
6.750302,-0.9929001,4.0
27.064035,50.477974,1.0
-8.069638,21.134892,5.0
-10.969407,-84.87107,
13.159817,-4.990596,4.0
-5.1348176,55.074852,3.0
-11.810604,-79.615974,1.0
-6.0058765,10.767501,4.0
-15.545862,3.6574852,1.0
74.196495,-18.343487,4.0
0.11632054,28.719133,4.0
-24.534258,7.1435876,1.0
22.96135,37.25779,1.0
-3.0791142,23.689474,1.0
3.1025355,7.378397,3.0
-5.58337,52.878624,3.0
14.1324835,25.6808,1.0
-16.192862,-20.73619,1.0
-62.91175,25.67183,1.0
29.198908,-56.524277,1.0
-27.26963,-14.685692,4.0
-50.42034,-54.104942,
-9.923631,50.010277,3.0
-21.55364,15.653165,1.0
22.882502,56.878967,1.0
49.027508,-8.924915,3.0
-69.30914,20.706518,1.0
-55.663937,-1.7170507,4.0
9.91023,-75.621864,1.0
-44.38427,17.059004,1.0
-12.488414,-76.54156,
-77.7593,28.675245,4.0
-76.32866,20.949696,4.0
-51.538807,12.786762,1.0
23.928623,5.6099396,3.0
-31.336584,-10.83447,
53.9136,-25.856707,4.0
29.203856,30.225098,1.0
51.54911,-4.5980005,1.0
-8.20732,-76.564445,4.0
-10.984379,50.27714,1.0
-28.30124,-16.177618,3.0
2.7247927,22.69004,1.0
29.701988,49.45492,1.0
55.75,-33.750744,
64.36604,11.148841,1.0
-9.466852,53.15018,3.0
-7.6137943,28.001812,1.0
76.31014,-20.203081,
-29.374704,47.858814,4.0
-67.438324,23.241331,1.0
6.348107,18.480627,1.0
-60.254246,21.129915,4.0
16.239285,-0.32486403,1.0
-40.29916,3.017587,4.0
-51.79034,-53.30534,4.0
61.392628,15.09119,4.0
-75.56817,28.295933,1.0
-48.506023,19.28479,4.0
32.40528,38.4189,3.0
-71.84254,27.416203,1.0
-26.006634,-18.391296,4.0
8.065119,50.220646,1.0
-0.9216306,19.445965,1.0
9.5786,32.08362,1.0
-59.459747,25.95866,1.0
-12.230822,14.3933115,4.0
-46.6386,24.266106,5.0
-68.10136,23.8149,3.0
-37.85149,-32.462753,
-62.683266,15.546758,5.0
2.6984477,8.486302,3.0
-72.50799,27.89198,3.0
6.8269196,34.83488,4.0
-49.08519,25.900805,4.0
9.909537,41.046,1.0
-45.846153,18.493444,1.0
-1.753925,4.4087267,1.0
-46.249767,22.744562,5.0
-52.448906,25.994802,5.0
21.283537,56.879612,1.0
-44.657375,5.7534494,4.0
-21.026066,-22.109085,1.0
13.894645,30.730846,3.0
64.13025,48.086124,1.0
34.658356,42.73187,4.0
-47.368893,10.646684,1.0
6.0568576,43.546818,1.0
1.2909547,-7.803497,3.0
15.248245,-0.5180415,4.0
-68.890526,23.082672,3.0
-46.358463,24.064413,1.0
-1.659059,3.2237597,1.0
1.5434618,16.27836,3.0
56.430668,-28.434244,1.0
-2.5081658,37.13167,3.0
-1.8950522,52.65036,4.0
-11.611614,43.968086,4.0
-19.204672,9.167955,1.0
-3.5475192,47.730133,1.0
-46.3737,23.54464,3.0
-40.272575,16.183064,3.0
-23.336676,-17.887156,4.0
47.430138,-17.002592,1.0
52.393085,-23.008799,4.0
-38.94255,0.38420224,1.0
-14.747514,46.874973,5.0
8.760012,-4.8546076,1.0
20.041086,59.19918,
-42.73827,12.44542,4.0
-70.99871,27.42579,5.0
18.37202,21.458311,4.0
15.582504,19.430733,
