movieId,budget,revenue,runtime,release_date,vote_average_tmdb,vote_count_tmdb
1.0,30000000.0,401157969.0,81.0,1995-11-22,7.971,19514.0
2.0,65000000.0,262821940.0,104.0,1995-12-15,7.244,11078.0
3.0,25000000.0,71500000.0,101.0,1995-12-22,6.482,415.0
4.0,16000000.0,81452156.0,123.0,1995-12-22,6.234,190.0
5.0,0.0,76594107.0,106.0,1995-12-08,6.3,788.0
6.0,60000000.0,187400000.0,170.0,1995-12-15,7.927,8057.0
7.0,58000000.0,53672080.0,127.0,1995-12-15,6.212,667.0
8.0,0.0,23920048.0,97.0,1995-12-22,5.263,205.0
9.0,35000000.0,64350171.0,110.0,1995-10-27,6.015,783.0
10.0,60000000.0,352194034.0,130.0,1995-11-16,6.898,4208.0
11.0,62000000.0,107879496.0,115.0,1995-11-17,6.531,763.0
12.0,30000000.0,10772144.0,88.0,1995-12-22,6.066,1076.0
13.0,31000000.0,11348324.0,74.0,1995-12-22,7.303,2135.0
14.0,44000000.0,13681765.0,212.0,1995-12-22,6.861,388.0
15.0,102000000.0,16000000.0,123.0,1995-12-22,5.8,601.0
16.0,50000000.0,116112375.0,178.0,1995-11-22,8.0,6357.0
17.0,16000000.0,134582776.0,136.0,1995-12-13,7.424,1804.0
18.0,4000000.0,4257354.0,98.0,1995-12-09,5.885,2792.0
19.0,30000000.0,212385533.0,91.0,1995-11-10,6.321,4428.0
20.0,68000000.0,77224232.0,110.0,1995-11-21,5.845,833.0
21.0,30250000.0,115101622.0,105.0,1995-10-20,6.499,1176.0
22.0,20000000.0,32000000.0,124.0,1995-10-27,6.465,1205.0
23.0,50000000.0,30303072.0,135.0,1995-10-06,6.491,1665.0
24.0,9500000.0,30900000.0,112.0,1995-10-27,7.0,700.0
25.0,3600000.0,49800000.0,111.0,1995-10-27,7.249,1594.0
26.0,11000000.0,2800000.0,123.0,1995-12-15,6.3,148.0
27.0,12000000.0,27400000.0,100.0,1995-10-20,6.885,466.0
28.0,1500000.0,5269757.0,104.0,1995-05-01,7.132,140.0
29.0,18000000.0,1738611.0,112.0,1995-05-17,7.236,1184.0
30.0,2300000.0,0.0,108.0,1995-09-14,6.8,105.0
31.0,23000000.0,179519401.0,99.0,1995-08-11,6.959,1229.0
32.0,29000000.0,168841459.0,130.0,1995-12-29,7.603,8899.0
34.0,30000000.0,254100000.0,91.0,1995-07-18,6.257,3055.0
36.0,11000000.0,39363635.0,122.0,1995-12-29,7.32,1459.0
38.0,19474589.0,19474589.0,101.0,1995-11-17,6.492,949.0
39.0,12000000.0,56631572.0,98.0,1995-07-19,7.256,4702.0
40.0,0.0,676525.0,116.0,1995-12-15,6.7,26.0
41.0,0.0,2748518.0,104.0,1995-12-29,6.725,191.0
42.0,10000000.0,24100000.0,119.0,1995-09-29,6.663,312.0
43.0,19000000.0,4005941.0,117.0,1995-12-29,6.05,129.0
44.0,18000000.0,122195920.0,102.0,1995-08-18,5.877,2448.0
45.0,20000000.0,21300000.0,102.0,1995-09-22,6.6,856.0
46.0,10000000.0,41200020.0,117.0,1995-10-06,6.39,191.0
47.0,33000000.0,327311859.0,130.0,1995-09-22,8.379,22555.0
48.0,55000000.0,346079773.0,82.0,1995-06-16,6.911,5974.0
49.0,0.0,0.0,94.0,1995-02-01,6.261,88.0
50.0,6000000.0,23300000.0,106.0,1995-07-19,8.171,11123.0
52.0,15000000.0,26000000.0,94.0,1995-09-13,6.715,729.0
53.0,0.0,0.0,112.0,1994-09-09,7.1,62.0
54.0,0.0,0.0,99.0,1995-09-29,5.6,195.0
55.0,0.0,1110974.0,118.0,1995-05-19,5.7,46.0
57.0,20000000.0,22119269.0,105.0,1995-11-02,6.2,187.0
58.0,3000000.0,33000000.0,108.0,1994-09-22,7.9,1194.0
60.0,45000000.0,35700000.0,96.0,1995-07-14,6.458,661.0
61.0,20000000.0,26877589.0,101.0,1996-01-12,6.208,448.0
62.0,31000000.0,106300000.0,143.0,1995-12-29,6.954,441.0
63.0,3800000.0,20100000.0,85.0,1996-01-12,7.0,1438.0
64.0,0.0,10658278.0,96.0,1996-01-12,4.9,97.0
65.0,8500000.0,13400000.0,88.0,1996-01-12,4.519,393.0
66.0,15000000.0,2409225.0,93.0,1996-01-12,3.289,168.0
68.0,0.0,0.0,105.0,1995-01-18,6.057,318.0
69.0,3500000.0,28215918.0,87.0,1995-04-26,7.1,1949.0
70.0,19000000.0,25800000.0,107.0,1996-01-19,7.036,6332.0
71.0,50000000.0,11500000.0,90.0,1995-11-03,5.12,329.0
72.0,0.0,718490.0,96.0,1995-10-06,6.177,232.0
73.0,0.0,0.0,175.0,1995-03-22,6.7,83.0
74.0,0.0,19030691.0,87.0,1996-01-26,5.847,121.0
75.0,15000000.0,2042530.0,90.0,1996-01-26,4.6,77.0
76.0,20000000.0,5781885.0,108.0,1995-09-08,6.224,585.0
77.0,0.0,0.0,70.0,1995-09-08,7.5,10.0
78.0,0.0,0.0,111.0,1995-01-26,6.0,282.0
79.0,44000000.0,22754725.0,125.0,1996-02-02,5.671,427.0
80.0,0.0,0.0,85.0,1995-01-02,7.5,102.0
81.0,8000000.0,529766.0,116.0,1995-12-01,6.5,415.0
82.0,900000.0,0.0,102.0,1995-09-21,6.904,140.0
83.0,0.0,0.0,115.0,1996-01-26,3.6,5.0
85.0,0.0,0.0,118.0,1995-09-10,6.134,56.0
86.0,38000000.0,10300000.0,125.0,1996-02-02,6.258,392.0
87.0,16000000.0,0.0,84.0,1996-01-12,5.369,241.0
88.0,32400000.0,32000000.0,87.0,1996-02-01,6.072,445.0
89.0,33000000.0,8175346.0,90.0,1995-11-22,6.232,777.0
92.0,47000000.0,12379402.0,108.0,1996-02-23,5.757,336.0
93.0,14000000.0,19800000.0,96.0,1995-10-26,5.08,619.0
94.0,16000000.0,27000000.0,112.0,1996-02-09,6.636,389.0
95.0,50000000.0,150300000.0,108.0,1996-02-09,6.062,1622.0
96.0,0.0,0.0,99.0,1995-09-29,7.1,42.0
97.0,2600000.0,15300000.0,98.0,1995-05-31,8.1,4417.0
99.0,0.0,0.0,106.0,1995-12-27,6.6,14.0
100.0,40000000.0,33440204.0,111.0,1996-02-16,5.9,308.0
101.0,7000000.0,1040879.0,91.0,1996-02-21,6.7,1148.0
102.0,0.0,0.0,96.0,1996-02-16,3.952,63.0
103.0,18000000.0,0.0,117.0,1996-02-23,5.598,112.0
104.0,12000000.0,41422354.0,88.0,1996-02-16,6.673,3221.0
105.0,24000000.0,182000000.0,135.0,1995-06-02,7.705,2315.0
106.0,0.0,0.0,104.0,1994-11-07,6.157,35.0
107.0,31000000.0,34327766.0,99.0,1996-02-16,6.7,448.0
108.0,0.0,0.0,95.0,1995-12-08,7.5,8.0
110.0,72000000.0,213216216.0,178.0,1995-05-24,7.941,10848.0
111.0,1900000.0,28579636.0,115.0,1976-02-09,8.13,13140.0
112.0,7500000.0,76028558.0,98.0,1995-01-21,6.82,1120.0
113.0,35000000.0,8797839.0,101.0,1996-02-23,5.9,205.0
116.0,0.0,0.0,117.0,1995-06-08,7.7,23.0
117.0,0.0,0.0,99.0,1995-01-20,6.6,52.0
118.0,5000000.0,2420162.0,92.0,1996-03-08,5.3,59.0
119.0,25000000.0,6278139.0,135.0,1995-09-29,4.3,22.0
121.0,0.0,204540.0,93.0,1994-06-03,7.2,42.0
122.0,40000000.0,131052444.0,111.0,1992-06-30,5.653,609.0
123.0,160000.0,0.0,102.0,1994-07-14,7.963,2105.0
125.0,7000000.0,14702438.0,92.0,1996-03-22,6.179,266.0
126.0,17000000.0,0.0,95.0,1994-10-26,4.472,418.0
128.0,0.0,0.0,87.0,1995-09-08,7.1,7.0
129.0,0.0,0.0,95.0,1996-02-09,6.607,14.0
132.0,50000000.0,9851610.0,95.0,1995-10-13,5.5,285.0
135.0,0.0,37553585.0,92.0,1996-03-01,6.384,503.0
137.0,0.0,209935.0,86.0,1995-09-15,2.786,7.0
140.0,60000000.0,100688562.0,129.0,1996-03-01,6.278,234.0
141.0,31000000.0,185300000.0,119.0,1996-03-08,7.048,1300.0
144.0,25000.0,19326506.0,98.0,1995-08-11,6.0,98.0
145.0,19000000.0,141407024.0,119.0,1995-04-07,6.827,6795.0
146.0,0.0,7506759.0,84.0,1995-08-25,5.6,93.0
147.0,2000000.0,2381087.0,100.0,1995-04-21,7.4,2137.0
148.0,4000000.0,851545.0,113.0,1995-05-11,6.541,68.0
149.0,0.0,0.0,100.0,1994-08-05,6.1,102.0
150.0,52000000.0,355237933.0,140.0,1995-06-30,7.5,5744.0
151.0,28000000.0,31600000.0,133.0,1995-04-13,6.703,693.0
152.0,0.0,302393.0,82.0,1995-10-06,6.464,304.0
153.0,100000000.0,336529144.0,121.0,1995-06-16,5.453,5475.0
154.0,0.0,0.0,101.0,1967-05-24,7.307,993.0
155.0,23000000.0,14700000.0,100.0,1995-08-25,6.6,83.0
156.0,2000000.0,1300000.0,85.0,1995-09-15,6.5,177.0
157.0,11000000.0,178104.0,91.0,1995-06-08,5.736,239.0
158.0,50000000.0,287928194.0,101.0,1995-05-26,6.333,4838.0
159.0,25000000.0,13100000.0,129.0,1995-09-15,6.708,344.0
160.0,50000000.0,152022101.0,108.0,1995-06-09,5.586,954.0
161.0,53000000.0,157387195.0,115.0,1995-05-12,7.176,1932.0
162.0,0.0,3041083.0,120.0,1994-09-10,7.5,273.0
163.0,7000000.0,25405445.0,107.0,1995-08-25,6.926,3059.0
164.0,27000000.0,16140822.0,97.0,1995-09-29,6.45,441.0
165.0,90000000.0,366101666.0,128.0,1995-05-19,7.276,6510.0
166.0,800000.0,284785.0,85.0,1995-10-20,6.5,301.0
168.0,55000000.0,127600435.0,129.0,1995-07-07,6.101,1309.0
169.0,31000000.0,30077111.0,95.0,1995-07-19,5.917,614.0
170.0,20000000.0,7563728.0,105.0,1995-09-14,6.38,1418.0
171.0,0.0,3487767.0,92.0,1995-08-18,6.2,67.0
172.0,25000000.0,19075720.0,98.0,1995-05-26,5.767,1474.0
173.0,90000000.0,113493481.0,96.0,1995-06-30,5.8,2651.0
174.0,0.0,17014653.0,88.0,1995-04-12,4.35,127.0
175.0,1500000.0,20412216.0,91.0,1995-07-28,6.892,1236.0
176.0,500000.0,1148752.0,91.0,1995-07-21,7.176,310.0
177.0,0.0,13294594.0,108.0,1995-08-25,5.963,367.0
178.0,0.0,0.0,100.0,1994-07-22,5.7,45.0
179.0,0.0,15453274.0,96.0,1995-05-26,5.143,122.0
180.0,6000000.0,2122561.0,96.0,1995-10-20,6.757,1340.0
181.0,15000000.0,66433194.0,92.0,1995-06-30,5.858,748.0
183.0,0.0,0.0,95.0,1995-09-15,6.4,151.0
184.0,0.0,0.0,93.0,1995-09-01,5.5,56.0
185.0,22000000.0,110627965.0,114.0,1995-07-28,6.029,1473.0
186.0,35000000.0,138500000.0,108.0,1995-07-12,5.711,688.0
187.0,150000.0,472370.0,94.0,1995-06-09,6.399,89.0
188.0,8000000.0,16115878.0,98.0,1995-08-05,6.5,546.0
189.0,0.0,0.0,91.0,1995-11-17,6.6,8.0
190.0,1000000.0,512558.0,118.0,1995-06-23,6.968,330.0
191.0,50000000.0,10382407.0,128.0,1995-10-13,6.109,507.0
193.0,45000000.0,20367472.0,131.0,1995-09-22,5.585,1342.0
194.0,7000000.0,8349430.0,103.0,1995-06-09,7.202,518.0
195.0,30000000.0,77300000.0,106.0,1995-08-04,5.636,250.0
196.0,35000000.0,113400000.0,108.0,1995-07-07,6.0,1789.0
198.0,42000000.0,7959291.0,145.0,1995-10-13,7.012,1487.0
199.0,200000.0,7600000.0,91.0,1964-02-19,7.4,861.0
201.0,10000000.0,7027000.0,115.0,1995-10-27,6.229,83.0
202.0,0.0,339889.0,103.0,1995-11-03,6.4,548.0
203.0,0.0,47774193.0,109.0,1995-09-08,7.362,741.0
204.0,60000000.0,104324083.0,100.0,1995-07-13,5.85,991.0
205.0,0.0,0.0,93.0,1995-09-15,6.0,30.0
206.0,0.0,0.0,73.0,1995-08-11,5.2,18.0
207.0,20000000.0,50012507.0,102.0,1995-05-27,7.36,1097.0
208.0,175000000.0,264218220.0,136.0,1995-07-28,6.22,3962.0
