,movieId,title,genres,budget,revenue,runtime,release_date,vote_average_tmdb,vote_count_tmdb,mean_rating,num_votes,std_rating,all_tags,primary_genre,tsne_1,tsne_2
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,30000000.0,401157969.0,81.0,1995-11-22,7.971,19514.0,3.9209302325581397,215.0,0.8348591407114044,pixar pixar fun,Adventure,87.77064,8.864682
1,2,Jumanji (1995),Adventure|Children|Fantasy,65000000.0,262821940.0,104.0,1995-12-15,7.244,11078.0,3.4318181818181817,110.0,0.8817134921476453,fantasy magic board game Robin Williams game,Adventure,80.17655,6.8401036
2,3,Grumpier Old Men (1995),Comedy|Romance,25000000.0,71500000.0,101.0,1995-12-22,6.482,415.0,3.2596153846153846,52.0,1.0548226531330254,moldy old,Comedy,61.842667,16.818254
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,16000000.0,81452156.0,123.0,1995-12-22,6.234,190.0,2.357142857142857,7.0,0.8521681032463467,,Comedy,-11.179619,-29.700232
4,5,Father of the Bride Part II (1995),Comedy,0.0,76594107.0,106.0,1995-12-08,6.3,788.0,3.0714285714285716,49.0,0.9071475440448852,pregnancy remake,Comedy,59.143044,17.38908
5,6,Heat (1995),Action|Crime|Thriller,60000000.0,187400000.0,170.0,1995-12-15,7.927,8057.0,3.946078431372549,102.0,0.8172244221533347,,Action,78.7307,12.860661
6,7,Sabrina (1995),Comedy|Romance,58000000.0,53672080.0,127.0,1995-12-15,6.212,667.0,3.185185185185185,54.0,0.9775609631923282,remake,Comedy,62.209843,0.42877916
7,8,Tom and Huck (1995),Adventure|Children,0.0,23920048.0,97.0,1995-12-22,5.263,205.0,2.875,8.0,1.1259916264596033,,Adventure,5.7141438,-29.91687
8,9,Sudden Death (1995),Action,35000000.0,64350171.0,110.0,1995-10-27,6.015,783.0,3.125,16.0,0.9746794344808964,,Action,32.98404,-25.43516
9,10,GoldenEye (1995),Action|Adventure|Thriller,60000000.0,352194034.0,130.0,1995-11-16,6.898,4208.0,3.496212121212121,132.0,0.8593806844280277,,Action,82.66516,6.4665
10,11,"American President, The (1995)",Comedy|Drama|Romance,62000000.0,107879496.0,115.0,1995-11-17,6.531,763.0,3.6714285714285713,70.0,0.9004254802862112,politics president,Comedy,69.03808,3.2639856
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,30000000.0,10772144.0,88.0,1995-12-22,6.066,1076.0,2.4210526315789473,19.0,1.2501461902817699,,Comedy,26.014467,-36.049763
12,13,Balto (1995),Adventure|Animation|Children,31000000.0,11348324.0,74.0,1995-12-22,7.303,2135.0,3.125,8.0,0.6408699444616557,,Adventure,-9.411569,8.52828
13,14,Nixon (1995),Drama,44000000.0,13681765.0,212.0,1995-12-22,6.861,388.0,3.8333333333333335,18.0,0.7071067811865476,politics president,Drama,34.140896,49.536743
14,15,Cutthroat Island (1995),Action|Adventure|Romance,102000000.0,16000000.0,123.0,1995-12-22,5.8,601.0,3.0,13.0,1.20761472884912,,Action,58.46819,-28.273312
15,16,Casino (1995),Crime|Drama,50000000.0,116112375.0,178.0,1995-11-22,8.0,6357.0,3.926829268292683,82.0,0.8858348619181693,Mafia,Crime,77.87951,13.236261
16,17,Sense and Sensibility (1995),Drama|Romance,16000000.0,134582776.0,136.0,1995-12-13,7.424,1804.0,3.7761194029850746,67.0,1.1457549518851469,Jane Austen,Drama,70.87278,17.63705
17,18,Four Rooms (1995),Comedy,4000000.0,4257354.0,98.0,1995-12-09,5.885,2792.0,3.7,20.0,0.9090191359227177,,Comedy,28.687536,-10.439275
18,19,Ace Ventura: When Nature Calls (1995),Comedy,30000000.0,212385533.0,91.0,1995-11-10,6.321,4428.0,2.727272727272727,88.0,1.0637957708161232,,Comedy,72.74126,12.270327
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,68000000.0,77224232.0,110.0,1995-11-21,5.845,833.0,2.5,15.0,0.9819805060619657,,Action,46.97067,-36.948975
20,21,Get Shorty (1995),Comedy|Crime|Thriller,30250000.0,115101622.0,105.0,1995-10-20,6.499,1176.0,3.49438202247191,89.0,0.8676456585288979,Hollywood,Comedy,75.00089,14.398305
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,20000000.0,32000000.0,124.0,1995-10-27,6.465,1205.0,3.2222222222222223,36.0,0.8232726023485646,serial killer,Crime,53.9878,10.884491
22,23,Assassins (1995),Action|Crime|Thriller,50000000.0,30303072.0,135.0,1995-10-06,6.491,1665.0,3.125,16.0,1.118033988749895,,Action,36.684975,-0.14692907
23,24,Powder (1995),Drama|Sci-Fi,9500000.0,30900000.0,112.0,1995-10-27,7.0,700.0,3.125,28.0,1.0149347725802838,,Drama,46.69865,13.834058
24,25,Leaving Las Vegas (1995),Drama|Romance,3600000.0,49800000.0,111.0,1995-10-27,7.249,1594.0,3.625,76.0,1.1169153951844337,alcoholism,Drama,72.47909,18.27578
25,26,Othello (1995),Drama,11000000.0,2800000.0,123.0,1995-12-15,6.3,148.0,3.5,13.0,0.6123724356957942,Shakespeare,Drama,28.042742,12.479187
26,27,Now and Then (1995),Children|Drama,12000000.0,27400000.0,100.0,1995-10-20,6.885,466.0,3.3333333333333335,9.0,1.1989578808281798,,Children,12.887938,-7.383721
27,28,Persuasion (1995),Drama|Romance,1500000.0,5269757.0,104.0,1995-05-01,7.132,140.0,4.2272727272727275,11.0,0.7862453931068965,In Netflix queue Jane Austen,Drama,8.628845,23.465992
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,18000000.0,1738611.0,112.0,1995-05-17,7.236,1184.0,4.0131578947368425,38.0,0.8259870598526934,kidnapping,Adventure,58.365894,26.173368
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,2300000.0,0.0,108.0,1995-09-14,6.8,105.0,3.0,3.0,1.7320508075688772,,Crime,30.057915,-55.079884
30,31,Dangerous Minds (1995),Drama,23000000.0,179519401.0,99.0,1995-08-11,6.959,1229.0,3.1842105263157894,38.0,0.9892739122203291,high school teacher,Drama,62.61561,7.4658885
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,29000000.0,168841459.0,130.0,1995-12-29,7.603,8899.0,3.983050847457627,177.0,0.7903866737178423,time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending,Mystery,86.88201,10.612111
32,34,Babe (1995),Children|Drama,30000000.0,254100000.0,91.0,1995-07-18,6.257,3055.0,3.65234375,128.0,1.0415739788159346,Animal movie pigs villain nonexistent or not needed for good story,Children,82.09278,9.773946
33,36,Dead Man Walking (1995),Crime|Drama,11000000.0,39363635.0,122.0,1995-12-29,7.32,1459.0,3.8358208955223883,67.0,0.943028887461601,death penalty Nun,Crime,70.55892,19.441439
34,38,It Takes Two (1995),Children|Comedy,19474589.0,19474589.0,101.0,1995-11-17,6.492,949.0,2.125,4.0,0.8539125638299665,twins,Children,-0.473259,-42.786774
35,39,Clueless (1995),Comedy|Romance,12000000.0,56631572.0,98.0,1995-07-19,7.256,4702.0,3.293269230769231,104.0,1.0371979076466489,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen,Comedy,77.72961,16.750126
36,40,"Cry, the Beloved Country (1995)",Drama,0.0,676525.0,116.0,1995-12-15,6.7,26.0,4.25,2.0,1.0606601717798212,In Netflix queue South Africa,Drama,11.38383,10.809542
37,41,Richard III (1995),Drama|War,0.0,2748518.0,104.0,1995-12-29,6.725,191.0,3.7,15.0,0.6761234037828133,Shakespeare,Drama,-2.5849786,2.8319802
38,42,Dead Presidents (1995),Action|Crime|Drama,10000000.0,24100000.0,119.0,1995-09-29,6.663,312.0,3.0,7.0,0.816496580927726,,Action,21.676653,-6.338077
39,43,Restoration (1995),Drama,19000000.0,4005941.0,117.0,1995-12-29,6.05,129.0,3.1875,8.0,0.6512350903146595,England,Drama,28.249092,3.8432286
40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,18000000.0,122195920.0,102.0,1995-08-18,5.877,2448.0,2.5434782608695654,46.0,1.0843640581594445,,Action,56.66724,0.6180549
41,45,To Die For (1995),Comedy|Drama|Thriller,20000000.0,21300000.0,102.0,1995-09-22,6.6,856.0,3.3125,32.0,0.8303710791159927,Journalism,Comedy,53.308765,3.4038286
42,46,How to Make an American Quilt (1995),Drama|Romance,10000000.0,41200020.0,117.0,1995-10-06,6.39,191.0,3.066666666666667,15.0,1.178174536346478,wedding,Drama,24.859518,-13.644561
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,33000000.0,327311859.0,130.0,1995-09-22,8.379,22555.0,3.9753694581280787,203.0,0.9224291201153795,mystery twist ending serial killer,Mystery,87.87594,9.424713
